"from","to","edge_type"
"TGFB1","CUX1","ligand_regulation"
"IL4","CYBB","ligand_regulation"
"TGFB1","DCN","ligand_regulation"
"TGFB1","DES","ligand_regulation"
"BMP4","DKK1","ligand_regulation"
"TGFB1","DLL1","ligand_regulation"
"IL4","DMP1","ligand_regulation"
"TGFB1","CDK2AP1","ligand_regulation"
"IL6","EBP","ligand_regulation"
"IL6","EDN1","ligand_regulation"
"TGFB1","EGR1","ligand_regulation"
"IL6","EGR1","ligand_regulation"
"IL4","EGR2","ligand_regulation"
"TGFB1","ELN","ligand_regulation"
"IL4","ESR2","ligand_regulation"
"TGFB1","PTK2","ligand_regulation"
"IL4","FASLG","ligand_regulation"
"TGFB1","FASLG","ligand_regulation"
"IL4","FCER1G","ligand_regulation"
"IL4","FCER2","ligand_regulation"
"IL6","FCGR1A","ligand_regulation"
"IL4","FCGR2A","ligand_regulation"
"TGFB1","FGF2","ligand_regulation"
"IL4","IL4I1","ligand_regulation"
"TGFB1","CTGF","ligand_regulation"
"IL6","FLT3LG","ligand_regulation"
"TGFB1","FOS","ligand_regulation"
"IL6","FOS","ligand_regulation"
"IL4","FOS","ligand_regulation"
"TGFB1","FOSB","ligand_regulation"
"TGFB1","FSHB","ligand_regulation"
"TGFB1","FST","ligand_regulation"
"IL4","FUT7","ligand_regulation"
"BMP4","GATA2","ligand_regulation"
"TGFB1","GATA3","ligand_regulation"
"IL4","GATA3","ligand_regulation"
"IL6","GATA3","ligand_regulation"
"BMP4","GATA4","ligand_regulation"
"TGFB1","GATA4","ligand_regulation"
"BMP4","GCM1","ligand_regulation"
"BMP4","GDNF","ligand_regulation"
"TGFB1","GFAP","ligand_regulation"
"IL4","GFI1","ligand_regulation"
"TGFB1","GJA1","ligand_regulation"
"IL6","GLS","ligand_regulation"
"IL4","GZMB","ligand_regulation"
"IL4","HLA-DQB1","ligand_regulation"
"IL4","HAND1","ligand_regulation"
"TGFB1","HAND1","ligand_regulation"
"IL6","HAND2","ligand_regulation"
"TGFB1","HAND2","ligand_regulation"
"TGFB1","HAS1","ligand_regulation"
"TGFB1","HAS2","ligand_regulation"
"TGFB1","HDGF","ligand_regulation"
"TGFB1","HEY1","ligand_regulation"
"IL6","HGF","ligand_regulation"
"IL4","HMOX1","ligand_regulation"
"TGFB1","HMOX1","ligand_regulation"
"TGFB1","FOXA1","ligand_regulation"
"TGFB1","HNF4A","ligand_regulation"
"IL6","HSF2","ligand_regulation"
"BMP4","ICAM1","ligand_regulation"
"IL6","ICAM1","ligand_regulation"
"BMP4","ID2","ligand_regulation"
"BMP4","ID3","ligand_regulation"
"IL4","CXCL10","ligand_regulation"
"TGFB1","IFNG","ligand_regulation"
"IL4","IFNG","ligand_regulation"
"IL4","IGF1","ligand_regulation"
"TGFB1","IGF2","ligand_regulation"
"TGFB1","CYR61","ligand_regulation"
"IL6","IGHM","ligand_regulation"
"IL4","IL10","ligand_regulation"
"TGFB1","IL12B","ligand_regulation"
"IL4","IL12B","ligand_regulation"
"TGFB1","IL17A","ligand_regulation"
"IL4","IL18R1","ligand_regulation"
"TGFB1","IL2","ligand_regulation"
"IL4","IL2RA","ligand_regulation"
"TGFB1","IL2RA","ligand_regulation"
"IL4","IL2RB","ligand_regulation"
"IL6","IL4","ligand_regulation"
"IL6","IL4R","ligand_regulation"
"TGFB1","IL5","ligand_regulation"
"TGFB1","IL6","ligand_regulation"
"IL4","IL6","ligand_regulation"
"IL6","IL6R","ligand_regulation"
"IL6","IL6ST","ligand_regulation"
"IL6","IL7","ligand_regulation"
"TGFB1","IL9","ligand_regulation"
"IL4","INSR","ligand_regulation"
"IL6","IRF1","ligand_regulation"
"IL4","IRF2","ligand_regulation"
"TGFB1","ITGAE","ligand_regulation"
"TGFB1","ITGB1BP1","ligand_regulation"
"TGFB1","JAG1","ligand_regulation"
"TGFB1","JUN","ligand_regulation"
"IL4","JUNB","ligand_regulation"
"TGFB1","JUNB","ligand_regulation"
"TGFB1","KDR","ligand_regulation"
"IL6","KDR","ligand_regulation"
"IL4","KIT","ligand_regulation"
"BMP4","KIT","ligand_regulation"
"IL6","KRT18","ligand_regulation"
"TGFB1","LAMA1","ligand_regulation"
"TGFB1","LAMA5","ligand_regulation"
"IL6","LCN2","ligand_regulation"
"BMP4","LEF1","ligand_regulation"
"TGFB1","LTA","ligand_regulation"
"TGFB1","LTBP2","ligand_regulation"
"IL4","LTC4S","ligand_regulation"
"TGFB1","TMED1","ligand_regulation"
"IL4","NCR1","ligand_regulation"
"TGFB1","SMAD7","ligand_regulation"
"IL4","MAF","ligand_regulation"
"IL6","MBP","ligand_regulation"
"TGFB1","MET","ligand_regulation"
"IL6","MET","ligand_regulation"
"IL4","MET","ligand_regulation"
"BMP4","MIF","ligand_regulation"
"IL4","CXCL9","ligand_regulation"
"TGFB1","MMP10","ligand_regulation"
"IL6","MMP13","ligand_regulation"
"IL6","MMP14","ligand_regulation"
"IL6","MMP3","ligand_regulation"
"TGFB1","MMP9","ligand_regulation"
"IL6","MMP9","ligand_regulation"
"IL4","MMP9","ligand_regulation"
"TGFB1","MORC1","ligand_regulation"
"IL4","CD200","ligand_regulation"
"IL4","MRC1","ligand_regulation"
"TGFB1","MSTN","ligand_regulation"
"BMP4","MSX1","ligand_regulation"
"BMP4","MSX2","ligand_regulation"
"IL6","COX1","ligand_regulation"
"IL6","COX2","ligand_regulation"
"IL4","COX2","ligand_regulation"
"TGFB1","COX2","ligand_regulation"
"IL4","MUC5AC","ligand_regulation"
"IL6","MYD88","ligand_regulation"
"TGFB1","MYOD1","ligand_regulation"
"TGFB1","NAB2","ligand_regulation"
"TGFB1","NCAM1","ligand_regulation"
"IL6","NFATC2","ligand_regulation"
"IL6","NFKB1","ligand_regulation"
"IL4","NFKB1","ligand_regulation"
"IL6","NFKB2","ligand_regulation"
"IL4","NGF","ligand_regulation"
"TGFB1","NGF","ligand_regulation"
"BMP4","NKX2-5","ligand_regulation"
"TGFB1","NKX2-5","ligand_regulation"
"BMP4","NOG","ligand_regulation"
"TGFB1","NOS2","ligand_regulation"
"IL4","NOS2","ligand_regulation"
"TGFB1","SIGMAR1","ligand_regulation"
"IL4","PDCD1","ligand_regulation"
"TGFB1","PDGFB","ligand_regulation"
"TGFB1","PIK3R1","ligand_regulation"
"IL4","LILRB3","ligand_regulation"
"IL6","PLA2G4A","ligand_regulation"
"TGFB1","SERPINE1","ligand_regulation"
"TGFB1","PLAU","ligand_regulation"
"TGFB1","PLAUR","ligand_regulation"
"IL6","PLG","ligand_regulation"
"BMP4","POU5F1","ligand_regulation"
"IL6","POU5F1","ligand_regulation"
"IL4","PPARD","ligand_regulation"
"IL4","PPARG","ligand_regulation"
"TGFB1","PPP3R1","ligand_regulation"
"TGFB1","PTGER2","ligand_regulation"
"IL4","PTGS2","ligand_regulation"
"IL6","PTGS2","ligand_regulation"
"TGFB1","PTHLH","ligand_regulation"
"IL6","PTPN1","ligand_regulation"
"IL4","SIRPA","ligand_regulation"
"IL4","PTPRJ","ligand_regulation"
"IL4","RAG2","ligand_regulation"
"IL4","ALDH1A2","ligand_regulation"
"BMP4","ALDH1A2","ligand_regulation"
"TGFB1","RARA","ligand_regulation"
"TGFB1","RRM1","ligand_regulation"
"TGFB1","RXRB","ligand_regulation"
"TGFB1","MSR1","ligand_regulation"
"IL4","CCL11","ligand_regulation"
"IL4","CCL17","ligand_regulation"
"TGFB1","CCL13","ligand_regulation"
"IL4","CCL13","ligand_regulation"
"IL6","CCL13","ligand_regulation"
"IL4","CCL22","ligand_regulation"
"IL6","CCL3L3","ligand_regulation"
"TGFB1","CCL3L3","ligand_regulation"
"IL4","CCL3L3","ligand_regulation"
"IL4","CCL5","ligand_regulation"
"IL4","CXCL12","ligand_regulation"
"IL4","SELE","ligand_regulation"
"IL6","SELE","ligand_regulation"
"IL6","SELP","ligand_regulation"
"TGFB1","SEMA3A","ligand_regulation"
"TGFB1","SEMA7A","ligand_regulation"
"IL6","FOXP3","ligand_regulation"
"IL4","FOXP3","ligand_regulation"
"IL6","SFTPD","ligand_regulation"
"TGFB1","SLC20A1","ligand_regulation"
"TGFB1","SLC2A1","ligand_regulation"
"BMP4","SOX9","ligand_regulation"
"TGFB1","SPHK1","ligand_regulation"
"TGFB1","SPP1","ligand_regulation"
"TGFB1","SRF","ligand_regulation"
"TGFB1","STAR","ligand_regulation"
"IL4","STAT4","ligand_regulation"
"IL4","STAT6","ligand_regulation"
"IL6","STC1","ligand_regulation"
"BMP4","WNT8A","ligand_regulation"
"IL4","SDC1","ligand_regulation"
"TGFB1","SYP","ligand_regulation"
"IL6","SYP","ligand_regulation"
"TGFB1","TAGLN","ligand_regulation"
"BMP4","TBX2","ligand_regulation"
"BMP4","TBX3","ligand_regulation"
"BMP4","TBX5","ligand_regulation"
"IL4","TFEC","ligand_regulation"
"TGFB1","TGFA","ligand_regulation"
"IL4","TGFB1","ligand_regulation"
"TGFB1","TSC22D1","ligand_regulation"
"TGFB1","TGFB3","ligand_regulation"
"TGFB1","THBS1","ligand_regulation"
"IL4","THY1","ligand_regulation"
"TGFB1","KLF10","ligand_regulation"
"TGFB1","TIMP1","ligand_regulation"
"IL6","TIMP1","ligand_regulation"
"IL4","TLR4","ligand_regulation"
"TGFB1","TNC","ligand_regulation"
"IL4","TNC","ligand_regulation"
"TGFB1","TNF","ligand_regulation"
"TGFB1","TNFRSF11A","ligand_regulation"
"IL6","TNFRSF11A","ligand_regulation"
"IL4","TNFRSF1B","ligand_regulation"
"IL4","CD40","ligand_regulation"
"IL4","TNFSF11","ligand_regulation"
"TGFB1","TNFSF11","ligand_regulation"
"IL4","CD40LG","ligand_regulation"
"TGFB1","CD40LG","ligand_regulation"
"IL4","CD70","ligand_regulation"
"IL6","HSP90B1","ligand_regulation"
"IL4","TWIST1","ligand_regulation"
"IL6","TWIST1","ligand_regulation"
"TGFB1","TWIST1","ligand_regulation"
"TGFB1","UCP3","ligand_regulation"
"IL6","UTRN","ligand_regulation"
"IL4","VCAM1","ligand_regulation"
"IL6","VCAM1","ligand_regulation"
"TGFB1","VEGFA","ligand_regulation"
"IL6","VEGFA","ligand_regulation"
"BMP4","VEGFA","ligand_regulation"
"IL4","VIM","ligand_regulation"
"IL4","VIPR2","ligand_regulation"
"TGFB1","WISP2","ligand_regulation"
"BMP4","WNT11","ligand_regulation"
"BMP4","WNT3","ligand_regulation"
"BMP4","WNT4","ligand_regulation"
"TGFB1","WNT5A","ligand_regulation"
"TGFB1","WNT7B","ligand_regulation"
"IL4","XBP1","ligand_regulation"
"IL4","ZFP36","ligand_regulation"
"TGFB1","LAMC3","ligand_regulation"
"TGFB1","TLR2","ligand_regulation"
"IL4","TLR2","ligand_regulation"
"TGFB1","TNFSF13B","ligand_regulation"
"IL4","ESRRA","ligand_regulation"
"TGFB1","MAPK14","ligand_regulation"
"IL6","ABCA3","ligand_regulation"
"TGFB1","NOX4","ligand_regulation"
"IL4","ATP9B","ligand_regulation"
"IL6","IL22","ligand_regulation"
"TGFB1","SDCBP","ligand_regulation"
"IL6","DLL4","ligand_regulation"
"TGFB1","CDON","ligand_regulation"
"IL4","PDCD1LG2","ligand_regulation"
"IL6","IL21R","ligand_regulation"
"IL6","IL21","ligand_regulation"
"IL4","SAMSN1","ligand_regulation"
"TGFB1","MYCT1","ligand_regulation"
"IL4","SCGB3A1","ligand_regulation"
"TGFB1","PRPF6","ligand_regulation"
"IL4","TNFSF13","ligand_regulation"
"IL4","CDA","ligand_regulation"
"IL6","MUC5B","ligand_regulation"
"TGFB1","PGS1","ligand_regulation"
"TGFB1","PRKD3","ligand_regulation"
"IL4","DCSTAMP","ligand_regulation"
"IL6","IL23A","ligand_regulation"
"TGFB1","IL23A","ligand_regulation"
"IL6","HAMP","ligand_regulation"
"BMP4","HAMP","ligand_regulation"
"IL6","TNFRSF25","ligand_regulation"
"IL4","CD163","ligand_regulation"
"TGFB1","RARS","ligand_regulation"
"TGFB1","MGAT5","ligand_regulation"
"TGFB1","OLR1","ligand_regulation"
"IL4","ACSM1","ligand_regulation"
"IL6","STEAP4","ligand_regulation"
"IL6","BHLHE23","ligand_regulation"
"IL4","PPARGC1B","ligand_regulation"
"TGFB1","CSNK1G1","ligand_regulation"
"IL4","CLEC10A","ligand_regulation"
"TGFB1","AHSA1","ligand_regulation"
"IL4","SCARA3","ligand_regulation"
"NODAL","ABLIM1","ligand_regulation"
"TGFB1","CYP26B1","ligand_regulation"
"IL4","SIGLEC8","ligand_regulation"
"TGFB1","MEX3D","ligand_regulation"
"TGFB1","LTBP1","ligand_regulation"
"IL4","INPP4A","ligand_regulation"
"IL4","MUC15","ligand_regulation"
"TGFB1","TNN","ligand_regulation"
"TGFB1","NELL1","ligand_regulation"
"TGFB1","MAFA","ligand_regulation"
"IL6","IGHD","ligand_regulation"
"IL4","IRS2","ligand_regulation"
"IL6","A2M","ligand_regulation"
"IL6","SERPINA3","ligand_regulation"
"TGFB1","ABCA1","ligand_regulation"
"TGFB1","ACAT1","ligand_regulation"
"TGFB1","ACVR1","ligand_regulation"
"BMP4","ACVRL1","ligand_regulation"
"IL6","ADA","ligand_regulation"
"TGFB1","ADORA2B","ligand_regulation"
"TGFB1","ADRA1D","ligand_regulation"
"IL4","ADRA1D","ligand_regulation"
"TGFB1","GRK2","ligand_regulation"
"IL6","AGT","ligand_regulation"
"TGFB1","AGT","ligand_regulation"
"TGFB1","AGTR1","ligand_regulation"
"TGFB1","ALOX5AP","ligand_regulation"
"IL4","ALOX15","ligand_regulation"
"TGFB1","ALPP","ligand_regulation"
"IL4","ALPPL2","ligand_regulation"
"IL6","ANG","ligand_regulation"
"TGFB1","ANGPT2","ligand_regulation"
"TGFB1","APOB","ligand_regulation"
"IL6","APOB","ligand_regulation"
"TGFB1","APOE","ligand_regulation"
"IL4","KLK3","ligand_regulation"
"IL4","FAS","ligand_regulation"
"TGFB1","FAS","ligand_regulation"
"IL4","B2M","ligand_regulation"
"IL6","BAX","ligand_regulation"
"BMP4","BAX","ligand_regulation"
"IL6","CCND1","ligand_regulation"
"TGFB1","CCND1","ligand_regulation"
"IL6","BCL2L1","ligand_regulation"
"IL4","BCL3","ligand_regulation"
"IL6","BCL3","ligand_regulation"
"TGFB1","BGN","ligand_regulation"
"IL4","BID","ligand_regulation"
"TGFB1","BIK","ligand_regulation"
"TGFB1","BLM","ligand_regulation"
"IL6","CXCR5","ligand_regulation"
"IL4","CXCR5","ligand_regulation"
"TGFB1","BMI1","ligand_regulation"
"TGFB1","BMP1","ligand_regulation"
"IL6","BMP2","ligand_regulation"
"TGFB1","BMPR1B","ligand_regulation"
"IL6","BMPR2","ligand_regulation"
"TGFB1","BMPR2","ligand_regulation"
"TGFB1","DST","ligand_regulation"
"IL6","SERPING1","ligand_regulation"
"IL6","C1R","ligand_regulation"
"IL6","C1S","ligand_regulation"
"TGFB1","CA9","ligand_regulation"
"IL4","CAMP","ligand_regulation"
"IL6","CAPG","ligand_regulation"
"TGFB1","CAT","ligand_regulation"
"TGFB1","CAV1","ligand_regulation"
"TGFB1","SERPINH1","ligand_regulation"
"TGFB1","CCNA2","ligand_regulation"
"IL4","CCND2","ligand_regulation"
"IL6","CCND2","ligand_regulation"
"TGFB1","CCNG1","ligand_regulation"
"IL4","CD1D","ligand_regulation"
"TGFB1","CD247","ligand_regulation"
"IL4","CD4","ligand_regulation"
"IL4","CD5","ligand_regulation"
"IL6","CD5","ligand_regulation"
"IL6","CD14","ligand_regulation"
"IL4","CD19","ligand_regulation"
"IL4","MS4A1","ligand_regulation"
"IL4","MS4A3","ligand_regulation"
"IL4","CD28","ligand_regulation"
"IL6","CD86","ligand_regulation"
"IL4","TNFRSF8","ligand_regulation"
"IL6","CD34","ligand_regulation"
"IL4","CD36","ligand_regulation"
"TGFB1","SCARB1","ligand_regulation"
"IL6","CD40LG","ligand_regulation"
"IL6","CD59","ligand_regulation"
"TGFB1","CD69","ligand_regulation"
"TGFB1","CDK1","ligand_regulation"
"BMP4","CDH5","ligand_regulation"
"TGFB1","CDH5","ligand_regulation"
"TGFB1","CDH9","ligand_regulation"
"IL4","CDK2","ligand_regulation"
"TGFB1","CDK5","ligand_regulation"
"IL4","CDKN1B","ligand_regulation"
"TGFB1","CDKN1C","ligand_regulation"
"TGFB1","CDKN2A","ligand_regulation"
"TGFB1","CDKN2B","ligand_regulation"
"IL6","CEBPB","ligand_regulation"
"IL4","CFTR","ligand_regulation"
"IL4","CLCN3","ligand_regulation"
"TGFB1","CLU","ligand_regulation"
"IL6","CLU","ligand_regulation"
"IL4","CMA1","ligand_regulation"
"IL4","CCR4","ligand_regulation"
"TGFB1","CCR4","ligand_regulation"
"TGFB1","CCR6","ligand_regulation"
"TGFB1","CNN3","ligand_regulation"
"IL4","CNR1","ligand_regulation"
"TGFB1","COL2A1","ligand_regulation"
"TGFB1","COL7A1","ligand_regulation"
"TGFB1","COL8A1","ligand_regulation"
"TGFB1","COL9A1","ligand_regulation"
"TGFB1","COL11A2","ligand_regulation"
"TGFB1","COL15A1","ligand_regulation"
"IL4","CR2","ligand_regulation"
"IL6","CRH","ligand_regulation"
"IL6","CRP","ligand_regulation"
"TGFB1","CRYBA4","ligand_regulation"
"IL6","CSF1","ligand_regulation"
"TGFB1","CSF1R","ligand_regulation"
"TGFB1","CSF2","ligand_regulation"
"IL4","CSF3","ligand_regulation"
"TGFB1","CSNK1A1","ligand_regulation"
"TGFB1","CTNNB1","ligand_regulation"
"IL4","CYP2E1","ligand_regulation"
"TGFB1","CYP19A1","ligand_regulation"
"IL4","CYP27A1","ligand_regulation"
"IL6","DCN","ligand_regulation"
"TGFB1","DDIT3","ligand_regulation"
"IL6","DNMT1","ligand_regulation"
"TGFB1","DNMT3A","ligand_regulation"
"TGFB1","EDA","ligand_regulation"
"TGFB1","EDN1","ligand_regulation"
"IL4","EDN1","ligand_regulation"
"TGFB1","MEGF8","ligand_regulation"
"IL6","EGFR","ligand_regulation"
"IL6","ENO2","ligand_regulation"
"TGFB1","EPS8","ligand_regulation"
"TGFB1","ETS1","ligand_regulation"
"TGFB1","ETV2","ligand_regulation"
"TGFB1","EXTL3","ligand_regulation"
"TGFB1","F2RL1","ligand_regulation"
"IL6","F12","ligand_regulation"
"TGFB1","FBLN2","ligand_regulation"
"IL4","FCER1A","ligand_regulation"
"TGFB1","FCER2","ligand_regulation"
"IL4","FCGR2B","ligand_regulation"
"TGFB1","FCGR3A","ligand_regulation"
"TGFB1","FCGR3B","ligand_regulation"
"IL4","FCGR3B","ligand_regulation"
"IL6","FCGRT","ligand_regulation"
"IL4","FCGRT","ligand_regulation"
"TGFB1","FCN2","ligand_regulation"
"IL4","FCN2","ligand_regulation"
"IL6","FCN2","ligand_regulation"
"TGFB1","FGF1","ligand_regulation"
"IL6","FGF1","ligand_regulation"
"IL6","FGF2","ligand_regulation"
"TGFB1","FGF10","ligand_regulation"
"TGFB1","FGFR1","ligand_regulation"
"TGFB1","FGFR2","ligand_regulation"
"IL6","FGFR4","ligand_regulation"
"TGFB1","FGFR4","ligand_regulation"
"TGFB1","FOXC1","ligand_regulation"
"TGFB1","FLG","ligand_regulation"
"IL6","FLI1","ligand_regulation"
"TGFB1","FLT1","ligand_regulation"
"TGFB1","FMOD","ligand_regulation"
"TGFB1","FN1","ligand_regulation"
"IL6","FUT4","ligand_regulation"
"TGFB1","FUT4","ligand_regulation"
"TGFB1","GLB1","ligand_regulation"
"TGFB1","GLI2","ligand_regulation"
"TGFB1","GPX4","ligand_regulation"
"TGFB1","ARHGAP35","ligand_regulation"
"TGFB1","GUSB","ligand_regulation"
"TGFB1","GYPA","ligand_regulation"
"TGFB1","HBG1","ligand_regulation"
"IL6","HBG2","ligand_regulation"
"TGFB1","HEXA","ligand_regulation"
"TGFB1","HIF1A","ligand_regulation"
"IL6","HIF1A","ligand_regulation"
"TGFB1","HLA-E","ligand_regulation"
"TGFB1","HMGB1","ligand_regulation"
"TGFB1","HMMR","ligand_regulation"
"BMP4","HMOX1","ligand_regulation"
"TGFB1","HOXC6","ligand_regulation"
"IL6","HP","ligand_regulation"
"TGFB1","HES1","ligand_regulation"
"IL4","HSD3B1","ligand_regulation"
"TGFB1","HSPA1A","ligand_regulation"
"IL6","HSPA4","ligand_regulation"
"TGFB1","HSPA4","ligand_regulation"
"TGFB1","HSPB1","ligand_regulation"
"TGFB1","DNAJB1","ligand_regulation"
"TGFB1","HYAL1","ligand_regulation"
"IL4","ICAM1","ligand_regulation"
"TGFB1","ID1","ligand_regulation"
"BMP4","ID1","ligand_regulation"
"TGFB1","ID3","ligand_regulation"
"TGFB1","IFI27","ligand_regulation"
"TGFB1","IGBP1","ligand_regulation"
"TGFB1","IGF1","ligand_regulation"
"TGFB1","IGFBP2","ligand_regulation"
"TGFB1","IGFBP3","ligand_regulation"
"TGFB1","IGFBP4","ligand_regulation"
"TGFB1","IGFBP5","ligand_regulation"
"TGFB1","IGFBP7","ligand_regulation"
"IL4","IGHE","ligand_regulation"
"TGFB1","IGHE","ligand_regulation"
"IL4","IGSF1","ligand_regulation"
"TGFB1","IK","ligand_regulation"
"IL4","IL1A","ligand_regulation"
"IL4","IL1R1","ligand_regulation"
"TGFB1","IL1RN","ligand_regulation"
"IL4","IL1RN","ligand_regulation"
"IL6","IL2RA","ligand_regulation"
"TGFB1","IL2RB","ligand_regulation"
"IL4","CXCR1","ligand_regulation"
"IL4","CXCR2","ligand_regulation"
"IL6","IL10","ligand_regulation"
"TGFB1","IL10RA","ligand_regulation"
"IL4","IL10RA","ligand_regulation"
"TGFB1","IL11","ligand_regulation"
"IL6","IL11","ligand_regulation"
"TGFB1","IL12RB1","ligand_regulation"
"TGFB1","IL13RA2","ligand_regulation"
"IL4","TNFRSF9","ligand_regulation"
"IL6","IL17A","ligand_regulation"
"IL4","IL17A","ligand_regulation"
"TGFB1","FOXK2","ligand_regulation"
"TGFB1","ILK","ligand_regulation"
"IL4","IDO1","ligand_regulation"
"TGFB1","IDO1","ligand_regulation"
"TGFB1","INHA","ligand_regulation"
"TGFB1","INPP5D","ligand_regulation"
"IL6","INPP5D","ligand_regulation"
"IL6","ITGA6","ligand_regulation"
"IL4","IRF1","ligand_regulation"
"IL4","IRF4","ligand_regulation"
"IL4","ISG20","ligand_regulation"
"TGFB1","ISG20","ligand_regulation"
"IL6","ITGA2","ligand_regulation"
"TGFB1","ITGA2","ligand_regulation"
"IL6","ITGA3","ligand_regulation"
"IL6","ITGA4","ligand_regulation"
"IL6","ITGA5","ligand_regulation"
"IL4","ITGA5","ligand_regulation"
"IL4","ITGAL","ligand_regulation"
"IL4","ITGAM","ligand_regulation"
"TGFB1","ITGAV","ligand_regulation"
"IL4","ITGAX","ligand_regulation"
"IL4","ITGB1","ligand_regulation"
"IL4","ITGB2","ligand_regulation"
"TGFB1","ITGB2","ligand_regulation"
"TGFB1","IVL","ligand_regulation"
"IL6","JAK3","ligand_regulation"
"IL6","JUN","ligand_regulation"
"IL4","JUN","ligand_regulation"
"IL6","JUNB","ligand_regulation"
"IL6","JUND","ligand_regulation"
"IL4","CD82","ligand_regulation"
"BMP4","KDR","ligand_regulation"
"TGFB1","KLRD1","ligand_regulation"
"TGFB1","KRT14","ligand_regulation"
"IL6","KRT17","ligand_regulation"
"TGFB1","L1CAM","ligand_regulation"
"TGFB1","LAMA3","ligand_regulation"
"TGFB1","LAMB2","ligand_regulation"
"TGFB1","LAMB3","ligand_regulation"
"TGFB1","LAMC2","ligand_regulation"
"IL4","LBR","ligand_regulation"
"IL6","LDLR","ligand_regulation"
"IL6","LEP","ligand_regulation"
"TGFB1","LHCGR","ligand_regulation"
"IL4","LIF","ligand_regulation"
"IL6","LIF","ligand_regulation"
"TGFB1","LIF","ligand_regulation"
"TGFB1","LIMS1","ligand_regulation"
"TGFB1","LMO1","ligand_regulation"
"IL6","LRP1","ligand_regulation"
"IL4","LTA","ligand_regulation"
"IL6","LTA","ligand_regulation"
"IL6","EPCAM","ligand_regulation"
"IL4","EPCAM","ligand_regulation"
"TGFB1","MXD1","ligand_regulation"
"BMP4","SMAD6","ligand_regulation"
"TGFB1","SMAD6","ligand_regulation"
"IL6","MAF","ligand_regulation"
"TGFB1","MAF","ligand_regulation"
"IL4","MAOA","ligand_regulation"
"IL6","MBL2","ligand_regulation"
"IL4","CD46","ligand_regulation"
"IL4","ADAM11","ligand_regulation"
"IL6","MDK","ligand_regulation"
