"from","to","edge_type"
"BMP4","CHST11","ligand_regulation"
"IL4","ITGB3","ligand_regulation"
"TGFB1","COL1A2","ligand_regulation"
"TGFB1","FOXP3","ligand_regulation"
"TGFB1","KLF6","ligand_regulation"
"TGFB1","MYCN","ligand_regulation"
"TGFB1","TBX21","ligand_regulation"
"IL4","ACP5","ligand_regulation"
"TGFB1","ACTB","ligand_regulation"
"TGFB1","ADAM12","ligand_regulation"
"IL6","AHR","ligand_regulation"
"IL4","ALDH1A1","ligand_regulation"
"TGFB1","SLC25A5","ligand_regulation"
"IL6","XIAP","ligand_regulation"
"IL6","AREG","ligand_regulation"
"IL4","ARG1","ligand_regulation"
"TGFB1","ARG1","ligand_regulation"
"TGFB1","BAX","ligand_regulation"
"TGFB1","BCL2","ligand_regulation"
"IL6","BCL2","ligand_regulation"
"IL4","BCL2L1","ligand_regulation"
"IL4","BDNF","ligand_regulation"
"IL4","PRDM1","ligand_regulation"
"IL6","PRDM1","ligand_regulation"
"IL4","CIITA","ligand_regulation"
"IL6","C5AR1","ligand_regulation"
"IL4","CACNB3","ligand_regulation"
"IL6","CAT","ligand_regulation"
"IL6","CASP3","ligand_regulation"
"TGFB1","CASP8","ligand_regulation"
"TGFB1","RUNX2","ligand_regulation"
"TGFB1","RUNX3","ligand_regulation"
"BMP4","CCND1","ligand_regulation"
"IL4","CCR6","ligand_regulation"
"TGFB1","CTLA4","ligand_regulation"
"IL4","CD22","ligand_regulation"
"TGFB1","CD3E","ligand_regulation"
"IL6","CD4","ligand_regulation"
"IL4","CD44","ligand_regulation"
"TGFB1","CD44","ligand_regulation"
"IL4","CD72","ligand_regulation"
"IL4","CD79A","ligand_regulation"
"TGFB1","CD79A","ligand_regulation"
"TGFB1","CD80","ligand_regulation"
"IL6","CD80","ligand_regulation"
"BMP4","CD80","ligand_regulation"
"IL4","CD80","ligand_regulation"
"IL4","CD86","ligand_regulation"
"BMP4","CD86","ligand_regulation"
"IL4","CDH1","ligand_regulation"
"TGFB1","CDH1","ligand_regulation"
"TGFB1","CDH2","ligand_regulation"
"BMP4","CDH3","ligand_regulation"
"BMP4","CDKN1A","ligand_regulation"
"TGFB1","CDKN1A","ligand_regulation"
"IL4","CDKN1A","ligand_regulation"
"BMP4","CDKN1B","ligand_regulation"
"TGFB1","CDKN1B","ligand_regulation"
"IL6","CDKN2D","ligand_regulation"
"BMP4","CDX2","ligand_regulation"
"BMP4","CHRD","ligand_regulation"
"IL4","SOCS3","ligand_regulation"
"IL4","SOCS1","ligand_regulation"
"IL6","CXCR3","ligand_regulation"
"IL4","CXCR3","ligand_regulation"
"IL6","CXCR4","ligand_regulation"
"TGFB1","CCR1","ligand_regulation"
"IL6","CCR3","ligand_regulation"
"IL4","CCR3","ligand_regulation"
"IL6","CCR4","ligand_regulation"
"IL6","CCR5","ligand_regulation"
"IL4","CCR5","ligand_regulation"
"TGFB1","CNN1","ligand_regulation"
"TGFB1","COL19A1","ligand_regulation"
"TGFB1","COL4A3","ligand_regulation"
"TGFB1","COL1A1","ligand_regulation"
"IL6","CR1L","ligand_regulation"
"IL4","CSF1","ligand_regulation"
"TGFB1","CSF1","ligand_regulation"
"IL6","CSF1R","ligand_regulation"
"IL4","CSF2","ligand_regulation"
"TGFB1","CST3","ligand_regulation"
"TGFB1","CTSK","ligand_regulation"
