"from","to","edge_type"
"BMP4","CYP3A4","sig_sig"
"BMP4","CYP46A1","sig_sig"
"BMP4","DEK","sig_sig"
"BMP4","DHRS9","sig_sig"
"BMP4","DNAJA3","sig_sig"
"BMP4","DNAJB11","sig_sig"
"BMP4","DNMT1","sig_tf"
"BMP4","DYSF","sig_sig"
"BMP4","EFHD2","sig_sig"
"BMP4","EFR3A","sig_sig"
"BMP4","EGR1","sig_tf"
"BMP4","EIF2S1","sig_sig"
"BMP4","ELF5","sig_tf"
"BMP4","ENAH","sig_sig"
"BMP4","EP300","sig_sig"
"BMP4","ESRRG","sig_tf"
"BMP4","EZH2","sig_sig"
"BMP4","FHL2","sig_sig"
"BMP4","FLNC","sig_sig"
"BMP4","FOS","sig_tf"
"BMP4","FOXM1","sig_tf"
"BMP4","FOXO1","sig_tf"
"BMP4","FST","sig_sig"
"BMP4","G6PC","sig_sig"
"BMP4","GADD45B","sig_sig"
"BMP4","GIPC1","sig_sig"
"BMP4","GJA1","sig_sig"
"BMP4","GLUD1","sig_sig"
"BMP4","GNA12","sig_sig"
"BMP4","GNAQ","sig_sig"
"BMP4","GNB3","sig_sig"
"BMP4","GPS2","sig_sig"
"BMP4","GREB1","sig_sig"
"BMP4","GSK3B","sig_sig"
"BMP4","HDAC1","sig_sig"
"BMP4","HIST1H1D","sig_sig"
"BMP4","HLTF","sig_sig"
"BMP4","HNF4A","sig_tf"
"BMP4","HOXA10","sig_tf"
"BMP4","HOXB9","sig_tf"
"BMP4","HOXC6","sig_tf"
"BMP4","HSD11B1","sig_sig"
"BMP4","HSD17B10","sig_sig"
"BMP4","HSD17B1","sig_sig"
"BMP4","HSD17B2","sig_sig"
"BMP4","HSD17B4","sig_sig"
"BMP4","HSD17B7","sig_sig"
"BMP4","HSDL2","sig_sig"
"BMP4","HSF2","sig_tf"
"BMP4","HSPB1","sig_sig"
"BMP4","HSPB8","sig_sig"
"BMP4","IDH3A","sig_sig"
"BMP4","IGFBP1","sig_sig"
"BMP4","IGFBP2","sig_sig"
"BMP4","IGFBP3","sig_sig"
"BMP4","INF2","sig_sig"
"BMP4","IRS1","sig_sig"
"BMP4","JUND","sig_tf"
"BMP4","JUN","sig_tf"
"BMP4","KARS","sig_sig"
"BMP4","KAT2B","sig_sig"
"BMP4","KHDRBS2","sig_sig"
"BMP4","KLRC3","sig_sig"
"BMP4","KMT2C","sig_sig"
"BMP4","KMT2D","sig_sig"
"BMP4","KRT19","sig_sig"
"BMP4","KRT28","sig_sig"
"BMP4","KRT33B","sig_sig"
"BMP4","LCN2","sig_sig"
"BMP4","LCOR","sig_tf"
"BMP4","LEF1","sig_tf"
"BMP4","LGALS1","sig_sig"
"BMP4","LLGL2","sig_sig"
"BMP4","LMNB2","sig_sig"
"BMP4","LRRFIP1","sig_sig"
"BMP4","MAGOH","sig_sig"
"BMP4","MAP3K7CL","sig_sig"
"BMP4","MAP3K7","sig_sig"
"BMP4","MAP4K3","sig_sig"
"BMP4","MAPK11","sig_sig"
"BMP4","MBD2","sig_tf"
"BMP4","MED1","sig_sig"
"BMP4","MED25","sig_sig"
"BMP4","MMP1","sig_sig"
"BMP4","MMP3","sig_sig"
"BMP4","MMP7","sig_sig"
"BMP4","MYC","sig_tf"
"BMP4","MYH10","sig_sig"
"BMP4","N4BP3","sig_sig"
"BMP4","NCOA1","sig_tf"
"BMP4","NCOA2","sig_tf"
"BMP4","NCOA3","sig_tf"
"BMP4","NCOA6","sig_sig"
"BMP4","NCOR1","sig_sig"
"BMP4","NCOR2","sig_sig"
"BMP4","NDUFS3","sig_sig"
"BMP4","NELFB","sig_sig"
"BMP4","NEMF","sig_sig"
"BMP4","NFE2L2","sig_tf"
"BMP4","NFKB1","sig_tf"
"BMP4","NKD1","sig_sig"
"BMP4","NMNAT1","sig_sig"
"BMP4","NOS2","sig_sig"
"BMP4","NR1I2","sig_tf"
"BMP4","NR1I3","sig_tf"
"BMP4","NR3C1","sig_tf"
"BMP4","NR3C2","sig_tf"
"BMP4","NRIP1","sig_sig"
"BMP4","NTPCR","sig_sig"
"BMP4","ORM1","sig_sig"
"BMP4","ORM2","sig_sig"
"BMP4","P4HB","sig_sig"
"BMP4","PABPN1","sig_sig"
"BMP4","PAPSS1","sig_sig"
"BMP4","PARP1","sig_sig"
"BMP4","PCK1","sig_sig"
"BMP4","PDK3","sig_sig"
"BMP4","PELP1","sig_sig"
"BMP4","PGAM4","sig_sig"
"BMP4","PGRMC1","sig_sig"
"BMP4","PHB2","sig_sig"
"BMP4","PHB","sig_sig"
"BMP4","PIAS1","sig_sig"
"BMP4","PLEKHG3","sig_sig"
"BMP4","PNRC2","sig_sig"
"BMP4","POLR2A","sig_sig"
"BMP4","POU5F1","sig_tf"
"BMP4","PPARGC1A","sig_sig"
"BMP4","PPARG","sig_tf"
"BMP4","PPRC1","sig_sig"
"BMP4","PRAME","sig_sig"
"BMP4","PRKAA1","sig_sig"
"BMP4","PRKAA2","sig_sig"
"BMP4","PSMC5","sig_sig"
"BMP4","PSME3","sig_sig"
"BMP4","PUF60","sig_sig"
"BMP4","RBBP7","sig_sig"
"BMP4","RCOR1","sig_sig"
"BMP4","RELA","sig_tf"
"BMP4","REL","sig_tf"
"BMP4","RFFL","sig_sig"
"BMP4","RORA","sig_tf"
"BMP4","SCNN1A","sig_sig"
"BMP4","SCNN1B","sig_sig"
"BMP4","SCNN1G","sig_sig"
"BMP4","SEMG1","sig_sig"
"BMP4","SERPINB9","sig_sig"
"BMP4","SF1","sig_sig"
"BMP4","SHBG","sig_sig"
"BMP4","SHC1","sig_sig"
"BMP4","SIN3A","sig_sig"
"BMP4","SIRT1","sig_sig"
"BMP4","SIRT2","sig_sig"
"BMP4","SLC25A1","sig_sig"
"BMP4","SLC30A9","sig_sig"
"BMP4","SMC4","sig_sig"
"BMP4","SMPDL3B","sig_sig"
"BMP4","SMYD1","sig_sig"
"BMP4","SNRPF","sig_sig"
"BMP4","SOCS3","sig_sig"
"BMP4","SOD2","sig_sig"
"BMP4","SOD3","sig_sig"
"BMP4","SORBS1","sig_sig"
"BMP4","SP1","sig_tf"
"BMP4","SPAG1","sig_sig"
"BMP4","SPATA13","sig_sig"
"BMP4","SPTB","sig_sig"
"BMP4","SRC","sig_sig"
"BMP4","SRD5A1","sig_sig"
"BMP4","SRPRB","sig_sig"
"BMP4","STAT1","sig_tf"
"BMP4","STS","sig_sig"
"BMP4","STUB1","sig_sig"
"BMP4","SULT1E1","sig_sig"
"BMP4","TAB1","sig_sig"
"BMP4","TAB2","sig_sig"
"BMP4","TERT","sig_sig"
"BMP4","TFF2","sig_sig"
"BMP4","THEM6","sig_sig"
"BMP4","THRAP3","sig_sig"
"BMP4","TMEM121B","sig_sig"
"BMP4","TMEM205","sig_sig"
"BMP4","TRIM2","sig_sig"
"BMP4","TRRAP","sig_sig"
"BMP4","TSC22D3","sig_sig"
"BMP4","TSFM","sig_sig"
"BMP4","TTF1","sig_tf"
"BMP4","TUBB2A","sig_sig"
"BMP4","TXNRD1","sig_sig"
"BMP4","UBE2I","sig_sig"
"BMP4","UBE3A","sig_sig"
"BMP4","VIM","sig_sig"
"BMP4","XBP1","sig_tf"
"IL4","ABCB4","sig_sig"
"IL4","ABCC4","sig_sig"
"IL4","ABCC5","sig_sig"
"IL4","ABCG2","sig_sig"
"IL4","ADGRL2","sig_sig"
"IL4","AGO2","sig_sig"
"IL4","AIFM1","sig_sig"
"IL4","AKR1B1","sig_sig"
"IL4","AKR1C2","sig_sig"
"IL4","ALG2","sig_sig"
"IL4","ALPP","sig_sig"
"IL4","ANXA2","sig_sig"
"IL4","ANXA5","sig_sig"
"IL4","AOC1","sig_sig"
"IL4","ARNT","sig_tf"
"IL4","AS3MT","sig_sig"
"IL4","ATF4","sig_tf"
"IL4","ATP2A1","sig_sig"
"IL4","ATP2A2","sig_sig"
"IL4","ATP2B1","sig_sig"
"IL4","ATP2B4","sig_sig"
"IL4","ATP5J","sig_sig"
"IL4","BCAR1","sig_sig"
"IL4","BCL2L1","sig_sig"
"IL4","BCL2","sig_sig"
"IL4","CACNA1B","sig_sig"
"IL4","CACNA1D","sig_sig"
"IL4","CACNA2D1","sig_sig"
"IL4","CACNA2D2","sig_sig"
"IL4","CACNA2D3","sig_sig"
"IL4","CACNA2D4","sig_sig"
"IL4","CARM1","sig_sig"
"IL4","CASP7","sig_sig"
"IL4","CASP8","sig_sig"
"IL4","CAV3","sig_sig"
"IL4","CAVIN1","sig_sig"
"IL4","CBL","sig_sig"
"IL4","CD14","sig_sig"
"IL4","CDC42","sig_sig"
"IL4","CDK5R1","sig_sig"
"IL4","CES1","sig_sig"
"IL4","CES2","sig_sig"
"IL4","CFB","sig_sig"
"IL4","CHRNA7","sig_sig"
"IL4","CHRNB2","sig_sig"
"IL4","CHUK","sig_sig"
"IL4","CP","sig_sig"
"IL4","CRK","sig_sig"
"IL4","CTSD","sig_sig"
"IL4","CYCS","sig_sig"
"IL4","CYP1B1","sig_sig"
"IL4","DISC1","sig_sig"
"IL4","ETS1","sig_tf"
"IL4","F10","sig_sig"
"IL4","FOXO3","sig_tf"
"IL4","GATA4","sig_tf"
"IL4","GIPC3","sig_sig"
"IL4","GRK2","sig_sig"
"IL4","GSTA2","sig_sig"
"IL4","GSTA3","sig_sig"
"IL4","GSTA4","sig_sig"
"IL4","GSTM5","sig_sig"
"IL4","GSTZ1","sig_sig"
"IL4","GUCY1A2","sig_sig"
"IL4","HNF4A","sig_tf"
"IL4","HNRNPD","sig_sig"
"IL4","HOMER1","sig_sig"
"IL4","HPCA","sig_sig"
"IL4","HPRT1","sig_sig"
"IL4","HRC","sig_sig"
"IL4","HSP90AA1","sig_sig"
"IL4","IDO1","sig_sig"
"IL4","IFT88","sig_sig"
"IL4","IQGAP1","sig_sig"
"IL4","ITGB1BP2","sig_sig"
"IL4","ITIH1","sig_sig"
"IL4","ITIH2","sig_sig"
"IL4","KHSRP","sig_sig"
"IL4","LYPLA2","sig_sig"
"IL4","MAP3K5","sig_sig"
"IL4","MAPK14","sig_sig"
